                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.84319,                0.67037,                 1.1094,                0.91465,                0.89873,                0.93104,                0.77312,                0.77957,                 0.5179,                 1.0402,               0.008548,               0.008548,               0.008548
                     47,                0.84104,                0.66654,                  1.109,                0.89111,                0.89136,                0.92372,                0.76291,                0.78929,                0.54518,                 1.0513,               0.008515,               0.008515,               0.008515
                     48,                0.83754,                0.65987,                 1.1026,                0.91394,                0.90113,                0.94106,                0.77364,                 0.8152,                0.53934,                 1.0596,               0.008482,               0.008482,               0.008482
                     49,                0.85001,                0.66825,                 1.1082,                0.91703,                0.91479,                0.93535,                 0.7772,                0.80369,                0.52814,                  1.059,               0.008449,               0.008449,               0.008449
                     50,                0.84196,                0.65379,                 1.0989,                0.91069,                0.91271,                 0.9348,                0.76645,                 0.7902,                 0.5236,                 1.0562,               0.008416,               0.008416,               0.008416
                     51,                0.84211,                0.65197,                 1.1001,                0.90901,                 0.8959,                0.93877,                 0.7782,                0.78098,                0.52606,                 1.0401,               0.008383,               0.008383,               0.008383
                     52,                0.84255,                0.65646,                 1.1045,                0.91598,                0.89044,                0.93818,                0.77288,                0.78424,                0.52674,                  1.043,                0.00835,                0.00835,                0.00835
                     53,                0.83571,                0.65166,                 1.0986,                 0.9153,                0.90915,                0.93911,                0.77545,                0.80772,                0.52066,                 1.0504,               0.008317,               0.008317,               0.008317
                     54,                0.83193,                0.63612,                 1.0976,                0.91455,                0.88117,                0.93582,                0.77801,                0.78159,                0.53191,                 1.0417,               0.008284,               0.008284,               0.008284
                     55,                0.82504,                0.64821,                 1.0943,                0.91816,                0.89878,                0.93582,                0.77621,                0.78697,                0.52648,                  1.052,               0.008251,               0.008251,               0.008251
                     56,                0.82637,                0.63521,                 1.0944,                0.92121,                0.89449,                0.94724,                0.78876,                0.77382,                0.50282,                 1.0414,               0.008218,               0.008218,               0.008218
                     57,                0.82322,                 0.6361,                 1.0975,                0.91795,                 0.8891,                0.93493,                0.78028,                0.79232,                0.52198,                 1.0586,               0.008185,               0.008185,               0.008185
                     58,                0.82128,                0.62575,                 1.0867,                0.91528,                0.89818,                0.93587,                0.78353,                 0.7805,                0.50095,                 1.0402,               0.008152,               0.008152,               0.008152
                     59,                0.82299,                0.62865,                 1.0955,                0.89007,                0.90161,                0.93633,                0.77655,                0.78189,                0.52315,                  1.045,               0.008119,               0.008119,               0.008119
                     60,                0.82252,                0.62741,                 1.0975,                0.89296,                0.91946,                0.93369,                0.78802,                0.75119,                0.53146,                 1.0268,               0.008086,               0.008086,               0.008086
                     61,                0.82018,                0.62073,                 1.0926,                0.92217,                0.89787,                0.94168,                0.79625,                0.76282,                0.49667,                 1.0273,               0.008053,               0.008053,               0.008053
                     62,                0.82125,                0.64236,                  1.094,                0.92584,                0.89271,                0.94735,                0.78678,                0.77681,                0.49032,                 1.0387,                0.00802,                0.00802,                0.00802
                     63,                0.82003,                0.61547,                 1.0877,                0.92489,                0.89328,                0.93983,                0.78664,                0.77026,                0.50889,                 1.0349,               0.007987,               0.007987,               0.007987
                     64,                0.81903,                0.61074,                 1.0838,                0.92841,                 0.9057,                0.94329,                0.79221,                0.76192,                0.50767,                  1.035,               0.007954,               0.007954,               0.007954
                     65,                  0.814,                0.60878,                 1.0901,                0.91013,                0.90476,                0.94252,                0.77991,                0.77766,                0.50785,                 1.0413,               0.007921,               0.007921,               0.007921
                     66,                0.80483,                 0.6072,                 1.0863,                0.93179,                0.89933,                0.94082,                0.78204,                0.77024,                0.52154,                 1.0349,               0.007888,               0.007888,               0.007888
                     67,                0.81123,                0.61774,                 1.0885,                0.91073,                0.92213,                0.94654,                0.78987,                0.76067,                0.47243,                 1.0303,               0.007855,               0.007855,               0.007855
                     68,                0.80951,                0.61295,                 1.0879,                0.90414,                0.90224,                0.94448,                0.79789,                 0.7535,                 0.5034,                  1.028,               0.007822,               0.007822,               0.007822
                     69,                0.80994,                0.61352,                 1.0817,                0.94214,                0.88419,                0.94726,                0.79716,                0.76069,                0.50196,                 1.0308,               0.007789,               0.007789,               0.007789
                     70,                0.81149,                0.60539,                 1.0843,                 0.9231,                0.89646,                0.93919,                0.78916,                0.75888,                0.47819,                  1.028,               0.007756,               0.007756,               0.007756
                     71,                0.80681,                0.60158,                 1.0819,                0.93365,                0.89679,                0.94095,                0.79436,                0.76634,                0.50522,                 1.0346,               0.007723,               0.007723,               0.007723
                     72,                0.80113,                0.59979,                 1.0827,                0.92531,                0.90388,                0.94628,                0.79696,                 0.7627,                0.48334,                 1.0343,                0.00769,                0.00769,                0.00769
                     73,                0.80193,                0.59859,                 1.0802,                0.92511,                0.90282,                0.94178,                0.79726,                0.75765,                0.49206,                 1.0287,               0.007657,               0.007657,               0.007657
                     74,                0.80118,                0.59272,                 1.0773,                0.90905,                0.91938,                0.94029,                0.79401,                0.76541,                0.52377,                 1.0361,               0.007624,               0.007624,               0.007624
                     75,                0.80085,                0.58557,                 1.0811,                0.93817,                0.89765,                0.94086,                0.79081,                0.76419,                0.50535,                 1.0353,               0.007591,               0.007591,               0.007591
                     76,                0.79806,                0.59666,                 1.0779,                0.93772,                0.89302,                0.94198,                0.78567,                0.75654,                0.49611,                 1.0327,               0.007558,               0.007558,               0.007558
                     77,                 0.8006,                0.59358,                  1.076,                0.91098,                0.88449,                0.94181,                0.79148,                0.74801,                0.49159,                 1.0299,               0.007525,               0.007525,               0.007525
                     78,                0.79297,                0.59121,                 1.0776,                0.92569,                0.89346,                0.93506,                0.79378,                0.74526,                0.51698,                 1.0279,               0.007492,               0.007492,               0.007492
                     79,                0.78907,                0.58043,                 1.0739,                0.91926,                0.89833,                0.93518,                0.79214,                0.75145,                0.50881,                 1.0264,               0.007459,               0.007459,               0.007459
                     80,                0.79422,                0.58737,                 1.0756,                0.92109,                0.90561,                0.94277,                 0.7997,                 0.7533,                0.49466,                 1.0262,               0.007426,               0.007426,               0.007426
                     81,                 0.7943,                0.58763,                 1.0745,                0.93118,                0.89973,                0.93965,                0.80033,                0.75789,                0.48747,                 1.0282,               0.007393,               0.007393,               0.007393
                     82,                0.79506,                0.58122,                 1.0732,                0.92748,                0.89951,                 0.9412,                0.79403,                0.74392,                0.48477,                 1.0241,                0.00736,                0.00736,                0.00736
                     83,                0.78898,                0.56966,                 1.0713,                0.91957,                0.90567,                0.93759,                0.79461,                0.75237,                0.48778,                 1.0245,               0.007327,               0.007327,               0.007327
                     84,                0.78263,                 0.5775,                 1.0701,                0.91129,                0.90722,                0.94371,                0.80014,                0.74158,                0.48511,                   1.02,               0.007294,               0.007294,               0.007294
                     85,                0.78474,                0.58917,                 1.0815,                0.92213,                0.90939,                0.94709,                 0.8032,                0.74011,                 0.4767,                 1.0222,               0.007261,               0.007261,               0.007261
                     86,                0.78023,                0.57866,                 1.0691,                0.92794,                0.90996,                0.95019,                0.80619,                0.74182,                0.49282,                  1.023,               0.007228,               0.007228,               0.007228
                     87,                0.78214,                0.57787,                 1.0727,                0.91755,                0.91811,                0.94769,                0.79294,                0.74687,                0.48399,                 1.0214,               0.007195,               0.007195,               0.007195
                     88,                0.78658,                 0.5808,                 1.0759,                0.92456,                0.90786,                0.94532,                 0.7961,                0.75278,                0.48717,                 1.0249,               0.007162,               0.007162,               0.007162
                     89,                0.78146,                0.57255,                 1.0707,                0.92052,                0.91277,                0.95316,                0.80363,                0.75649,                0.46612,                 1.0251,               0.007129,               0.007129,               0.007129
                     90,                0.77746,                0.56637,                 1.0687,                 0.9157,                0.91949,                0.94882,                0.80354,                0.74885,                0.47159,                 1.0195,               0.007096,               0.007096,               0.007096
                     91,                0.78497,                0.57148,                  1.073,                0.92678,                0.91315,                0.94884,                0.80214,                0.74819,                0.48413,                 1.0235,               0.007063,               0.007063,               0.007063
                     92,                0.77484,                0.56888,                 1.0653,                0.91907,                0.90281,                0.94358,                0.80383,                0.74462,                0.49062,                 1.0254,                0.00703,                0.00703,                0.00703
                     93,                0.77844,                0.56243,                 1.0747,                0.93078,                0.90414,                 0.9438,                0.80273,                 0.7391,                0.49357,                 1.0212,               0.006997,               0.006997,               0.006997
                     94,                0.77268,                0.56084,                 1.0668,                0.92881,                0.89972,                0.94666,                0.80548,                 0.7401,                 0.4894,                 1.0198,               0.006964,               0.006964,               0.006964
                     95,                0.78396,                0.56374,                 1.0657,                0.91888,                0.90635,                0.94393,                0.80228,                0.74202,                 0.4844,                 1.0223,               0.006931,               0.006931,               0.006931
